,repo_name,full_name,owner_name,git_url,language,num_commits,num_stars,num_forks,created_at,updated_at
14,cat,dianping/cat,dianping,https://github.com/dianping/cat,Java,7285,12480,4131,2012-12-05 02:31:48,2020-01-04 08:49:25
36,zaproxy,zaproxy/zaproxy,zaproxy,https://github.com/zaproxy/zaproxy,Java,7251,6811,1263,2015-06-03 16:55:01,2020-01-04 08:00:24
67,MinecraftForge,MinecraftForge/MinecraftForge,MinecraftForge,https://github.com/MinecraftForge/MinecraftForge,Java,7192,3522,1622,2012-01-30 01:35:01,2020-01-03 14:53:23
24,Arduino,arduino/Arduino,arduino,https://github.com/arduino/Arduino,Java,7144,9795,6593,2010-09-17 19:10:36,2020-01-03 18:50:03
100,querydsl,querydsl/querydsl,querydsl,https://github.com/querydsl/querydsl,Java,7116,2588,590,2011-08-05 06:46:32,2020-01-04 01:54:56
109,mongo-java-driver,mongodb/mongo-java-driver,mongodb,https://github.com/mongodb/mongo-java-driver,Java,7024,2262,1301,2009-01-15 15:16:29,2020-01-02 17:21:07
113,jmonkeyengine,jMonkeyEngine/jmonkeyengine,jMonkeyEngine,https://github.com/jMonkeyEngine/jmonkeyengine,Java,6980,2208,918,2014-03-20 22:29:28,2020-01-02 16:44:00
12,kafka,apache/kafka,apache,https://github.com/apache/kafka,Java,6944,14617,7736,2011-08-15 18:06:16,2020-01-04 04:42:39
103,incubator-pinot,apache/incubator-pinot,apache,https://github.com/apache/incubator-pinot,Java,6596,2428,471,2014-05-19 23:27:48,2020-01-04 06:07:26
89,javaparser,javaparser/javaparser,javaparser,https://github.com/javaparser/javaparser,Java,6125,2880,663,2011-10-30 14:03:44,2020-01-03 06:09:25
112,nutz,nutzam/nutz,nutzam,https://github.com/nutzam/nutz,Java,6082,2223,953,2011-06-10 01:25:43,2020-01-04 03:09:32
6,druid,alibaba/druid,alibaba,https://github.com/alibaba/druid,Java,6057,19959,6776,2011-11-03 05:12:51,2020-01-04 09:34:54
